Equipment ID,Date,Sensor 1 (Temperature),Sensor 2 (Pressure),Sensor 3 (Vibration),Maintenance History,Failure
1,2022-01-01 08:00:00,28.5,102.3,0.8,Maintenance 1,0
2,2022-01-01 08:15:00,30.2,98.7,1.2,None,0
3,2022-01-01 08:30:00,27.8,99.9,1.0,Maintenance 2,0
4,2022-01-01 08:45:00,29.3,100.5,0.9,None,0
5,2022-01-01 09:00:00,31.0,97.6,1.5,Maintenance 3,1
6,2022-01-01 09:15:00,28.1,101.2,1.3,Maintenance 1,0
7,2022-01-01 09:30:00,29.7,99.5,1.1,None,1
8,2022-01-01 09:45:00,30.5,98.0,1.4,Maintenance 2,0
9,2022-01-01 10:00:00,27.3,100.0,0.7,None,0
10,2022-01-01 10:15:00,31.2,97.2,1.6,Maintenance 3,1
